//SQLite data types: https://www.sqlite.org/datatype3.html,,,,,,,,,,,,,,,,,,,,,,,
//wget -O azq_global_element_info_list.csv https://docs.google.com/spreadsheets/d/1ddl-g_qyoMYLF8PMkjrYPrpXusdinTZxsWLQOzJ6xu8/export?format=csv,,,,,,,,,,,,,,,,,,,,,,,
id,var_name,csharp_oldname,db_table,var_type,db_type,val_min,val_max,n_arg_max,name,expiry (millis),definition,category,omit_param_check,,,,,,,,,,
1,general_time,,general_time,DateTime,,0,0,1,Time,,,Other,,,,,,,,,,,
2,mos_score,,mos_score,Double,double,0,5,1,legacy MOS Score,,,Voice,,,,,,,,,,,
3,polqa_delay_variance_millis,,mos_score,Double,double,0,2000,1,legacy POLQA Delay Variance (ms.),,,Voice,,,,,,,,,,,
10,polqa_mos,,polqa_mos,Double,double,1,4.5,1,POLQA MOS score for voice calls,13000,POLQA voice call mean opinion score,Voice,,,,,,,,,,,
4,visqol_mos,,polqa_mos,Double,double,0,5,1,ViSQOL MOS Score for voice calls,,https://github.com/google/visqol,Voice,,,,,,,,,,,
5,ott_voice_mos_downlink,,ott_voice_mos,Double,double,,,,MOS Score for ott voice/audio downlink,,,ott,,,,,,,,,,,
6,ott_voice_mos_downlink_details,,ott_voice_mos,String,text,,,,MOS Score details for ott voice/audio downlink,,,ott,,,,,,,,,,,
7,ott_voice_mos_uplink,,ott_voice_mos,Double,double,,,,MOS Score for ott voice/audio uplink,,,ott,,,,,,,,,,,
8,ott_voice_mos_uplink_details,,ott_voice_mos,String,text,,,,MOS Score details for ott voice/audio uplink,,,ott,,,,,,,,,,,
101,internal_messageinfo,,azq_internal_types,String,text,0,0,1,Message	Info,,,Other,,,,,,,,,,,
102,device_timestamp,,azq_internal_types,QCDateTime,,0,0,1,Device	Time	Stamp,,,Other,,,,,,,,,,,
103,raw_layer_msg,,azq_internal_types,QCDiagPkt,,0,0,1,Raw/binary  Layer-3 message,,,Other,,,,,,,,,,,
104,processed_event,,detected_radio_event,String,text,,,,,,,Other,,,,,,,,,,,
105,azq_db_calls_row_meta_id,,voicecall,String,text,0,0,1,Azq DB Calls Row Meta id,,CSV of a completed voice call stats,Voice,,,,,,,,,,,
106,raw_pkt_backup,,azq_internal_types,QCDiagPktBackup,,,,,,,,Other,,,,,,,,,,,
107,l3_msg_desc,,azq_internal_types,L3MsgDesc,,0,0,1,l3_msg_desc,,,Other,,,,,,,,,,,
108,unused_legacy_l3_msg_string,,azq_internal_types,String,text,,,,,,,Other,,,,,,,,,,,
109,azqgui_meta_cmd,,azq_internal_types,String,text,,,,,,,Other,,,,,,,,,,,
110,azqgui_meta_cmd_resp,,azq_internal_types,String,text,,,,,,,Other,,,,,,,,,,,
111,azqml_file_pos_info,,azq_internal_types,Double,double,,,,,,,Other,,,,,,,,,,,
112,unused_legacy_l3_cc_disconnect_info,,azq_internal_types,String,text,,,,,,,Other,,,,,,,,,,,
113,internal_crop_indoor_map,,log_info,Integer,smallint,0,0,1,Crop	Indoor	Map,,,Test Log Information,,,,,,,,,,,
114,internal_time_shift,,log_info,Integer,smallint,0,0,1,Internal_Time_Shift,,,Test Log Information,,,,,,,,,,,
115,atrl3_decoded_txt,,azq_internal_types,QCDiagPkt,text,,,,atrl3_txt_desc,,,Other,,,,,,,,,,,
116,floor_name,,log_info,String,text,0,0,1,Floor_name,,,Test Log Information,,,,,,,,,,,
117,questionnaire,,azq_internal_types,String,text,0,0,1,Questionnaire,,,Other,,,,,,,,,,,
118,modem_timestamp,,azq_internal_types,QCDateTime,,,,,,,,Other,,,,,,,,,,,
119,os_timestamp,,azq_internal_types,QCDateTime,,,,,,,,Other,,,,,,,,,,,
120,msg_code,,log_decode_message,String,text,,,1,,,,Other,,,,,,,,,,,
121,msg_name,,log_decode_message,String,text,,,1,,,,Other,,,,,,,,,,,
122,msg_version,,log_decode_message,Integer,int,,,1,,,,Other,,,,,,,,,,,
123,msg_id_code,,log_decode_message,Integer,int,,,1,,,,Other,,,,,,,,,,,
124,msg_id_ver,,log_decode_message,Integer,int,,,1,,,,Other,,,,,,,,,,,
201,point_name,,location,String,text,0,0,1,Point_Name,,The name of point user input while marking an indoor gps.,Location,,,,,,,,,,,
202,script_name,,log_info,String,varchar(255),0,0,1,Script_Name,,Script name of current test.,Test Log Information,,,,,,,,,,,
203,distance,,location,Double,double,0,0,1,Distance,,Sum of distance during the test. Calculated from gps.,Location,,,,,,,,,,,
204,operator_name,,android_info_2sec,String,varchar(32),0,0,1,Operator	Name,,Operator name sim card connected to.,Other,,,,,,,,,,,
205,script,,log_info,String,text,0,0,1,Script,,The script used in the test (in XML format).,Test Log Information,,,,,,,,,,,
206,phonemodel,,log_info,String,varchar(255),0,0,1,Phone	Model,,Model name of testing devices.,Test Log Information,,,,,,,,,,,
207,gladiator_dtconfig,,gladiator,String,text,0,0,1,Gladiator	DTConfig,,,Other,,,,,,,,,,,
208,mobile_ip,,android_info_2sec,String,text,0,0,1,Mobile	IP,,,Other,,,,,,,,,,,
209,signal_strength_api,,signal_strength_api,Integer,smallint,0,0,1,Signal	Strength	API,,,Other,,,,,,,,,,,
210,line_id_detail,,line,String,text,0,0,1,LINE	ID	Detail,,,Other,,,,,,,,,,,
