,band,range,band_n,arfcn_start,arfcn_end,if_c,if_py
0,n1 ,422000 – <20> – 434000,1,422000,434000,if (arfcn >= 422000 && arfcn <= 434000) return 1;,if (arfcn >= 422000 and arfcn <= 434000) return 1
1,n2 ,386000 – <20> – 398000,2,386000,398000,if (arfcn >= 386000 && arfcn <= 398000) return 2;,if (arfcn >= 386000 and arfcn <= 398000) return 2
2,n3 ,361000 – <20> – 376000,3,361000,376000,if (arfcn >= 361000 && arfcn <= 376000) return 3;,if (arfcn >= 361000 and arfcn <= 376000) return 3
3,n5 ,173800 – <20> – 178800,5,173800,178800,if (arfcn >= 173800 && arfcn <= 178800) return 5;,if (arfcn >= 173800 and arfcn <= 178800) return 5
4,n7 ,524000 – <20> – 538000,7,524000,538000,if (arfcn >= 524000 && arfcn <= 538000) return 7;,if (arfcn >= 524000 and arfcn <= 538000) return 7
5,n8 ,185000 – <20> – 192000,8,185000,192000,if (arfcn >= 185000 && arfcn <= 192000) return 8;,if (arfcn >= 185000 and arfcn <= 192000) return 8
6,n12 ,145800 – <20> – 149200,12,145800,149200,if (arfcn >= 145800 && arfcn <= 149200) return 12;,if (arfcn >= 145800 and arfcn <= 149200) return 12
7,n14 ,151600 – <20> – 153600,14,151600,153600,if (arfcn >= 151600 && arfcn <= 153600) return 14;,if (arfcn >= 151600 and arfcn <= 153600) return 14
8,n18 ,172000 – <20> – 175000,18,172000,175000,if (arfcn >= 172000 && arfcn <= 175000) return 18;,if (arfcn >= 172000 and arfcn <= 175000) return 18
9,n20 ,158200 – <20> – 164200,20,158200,164200,if (arfcn >= 158200 && arfcn <= 164200) return 20;,if (arfcn >= 158200 and arfcn <= 164200) return 20
10,n25 ,386000 – <20> – 399000,25,386000,399000,if (arfcn >= 386000 && arfcn <= 399000) return 25;,if (arfcn >= 386000 and arfcn <= 399000) return 25
11,n26 ,171800 – <20> – 178800,26,171800,178800,if (arfcn >= 171800 && arfcn <= 178800) return 26;,if (arfcn >= 171800 and arfcn <= 178800) return 26
12,n28 ,151600 – <20> – 160600,28,151600,160600,if (arfcn >= 151600 && arfcn <= 160600) return 28;,if (arfcn >= 151600 and arfcn <= 160600) return 28
13,n29 ,143400 – <20> – 145600,29,143400,145600,if (arfcn >= 143400 && arfcn <= 145600) return 29;,if (arfcn >= 143400 and arfcn <= 145600) return 29
14,n30 ,470000 – <20> – 472000,30,470000,472000,if (arfcn >= 470000 && arfcn <= 472000) return 30;,if (arfcn >= 470000 and arfcn <= 472000) return 30
15,n34 ,402000 – <20> – 405000,34,402000,405000,if (arfcn >= 402000 && arfcn <= 405000) return 34;,if (arfcn >= 402000 and arfcn <= 405000) return 34
16,n38 ,514000 – <20> – 524000,38,514000,524000,if (arfcn >= 514000 && arfcn <= 524000) return 38;,if (arfcn >= 514000 and arfcn <= 524000) return 38
17,n39 ,376000 – <20> – 384000,39,376000,384000,if (arfcn >= 376000 && arfcn <= 384000) return 39;,if (arfcn >= 376000 and arfcn <= 384000) return 39
18,n40 ,460000 – <20> – 480000,40,460000,480000,if (arfcn >= 460000 && arfcn <= 480000) return 40;,if (arfcn >= 460000 and arfcn <= 480000) return 40
19,n41 ,499200 – <3> – 537999,41,499200,537999,if (arfcn >= 499200 && arfcn <= 537999) return 41;,if (arfcn >= 499200 and arfcn <= 537999) return 41
20,n48 ,636667 – <1> – 646666,48,636667,646666,if (arfcn >= 636667 && arfcn <= 646666) return 48;,if (arfcn >= 636667 and arfcn <= 646666) return 48
